group_name,group_url,privacy,member_count,posts_per_day
Digital Marketing in Pakistan,https://www.facebook.com/groups/387281558144522/,Private,34000,90.0
Digital Marketing Group International,https://www.facebook.com/groups/digitalmarketingind/,Public,100000,90.0
Digital Marketing Group International,https://www.facebook.com/groups/1297103908793460/,Public,21000,90.0
Digital Marketing,https://www.facebook.com/groups/963861635698841/,Public,22000,90.0
Digital marketing,https://www.facebook.com/groups/1234047747705514/,Public,3900,90.0
Digital Marketing Group,https://www.facebook.com/groups/717418866631603/,Public,32000,10.0
Digital Marketing Agency,https://www.facebook.com/groups/1299167818060505/,Public,18000,50.0
Digital Marketing Pakistan,https://www.facebook.com/groups/2034161749978276/,Public,35000,
Digital Marketing,https://www.facebook.com/groups/389258482390278/,Public,22000,8.0
DiGital Marketing,https://www.facebook.com/groups/3579373722324903/,Public,3900,90.0
Digital marketing agency,https://www.facebook.com/groups/1018392672452885/,Public,69000,9.0
Online Digital Marketing,https://www.facebook.com/groups/onlinedigitalmarketingindia/,Public,32000,30.0
Digital Market �,https://www.facebook.com/groups/2116608058543836/,Public,30000,90.0
WORLD OF DIGITAL MARKETERS,https://www.facebook.com/groups/worldofdigitalmarketers/,Public,30000,10.0
DIGITAL MARKETING,https://www.facebook.com/groups/3164333900444963/,Public,4400,60.0
Digital Marketing 75k Members,https://www.facebook.com/groups/324527158673013/,Public,1300,8.0
