title,content
به روی سیل گشادیم راه خانهٔ خویش,"به روی سیل گشادیم راه خانهٔ خویش
به دست برق سپردیم آشیانهٔ خویش
مرا چه حد که زنم بوسه آستین ترا
همین قدر تو مرانم ز آستانهٔ خویش
به جز تو کز نگهی سوختی دل ما را
به دست خویش که آتش زند به خانهٔ خویش
مخوان حدیث رهایی که الفتی است مرا
به ناله سحر و گریه شبانهٔ خویش
ز رشک تا که هلاکم کند به دامن غیر
چو گل نهد سر و مستی کند بهانهٔ خویش
رهی به ناله دهی چند دردسر ما را؟
بمیر از غم و کوتاه کن فسانهٔ خویش"
دگر ز جان من ای سیم‌بر چه می‌خواهی؟,"دگر ز جان من ای سیم‌بر چه می‌خواهی؟
ربوده‌ای دل زارم دگر چه می‌خواهی؟
مریز دانه که ما خود اسیر دام توایم
ز صید طایر بی بال و پر چه می‌خواهی؟
اثر ز ناله خونین‌دلان گریزان است
ز ناله‌ای دل خونین اثر چه می‌خواهی؟
به گریه بر سر راهش فتاده بودم دوش
به خنده گفت از این رهگذر چه می‌خواهی؟
نهاده‌ام سر تسلیم زیر شمشیرت
بیار بر سرم ای عشق هرچه می‌خواهی
کنون که بی‌هنرانند کعبه دل خلق
چو کعبه حرمت اهل هنر چه می‌خواهی؟
به غیر آن که بیفتد ز چشم‌ها چون اشک
به جلوه‌گاه خزف از گهر چه می‌خواهی؟
رهی چه می‌طلبی نظم آبدار از من؟
به خشکسال ادب شعر تر چه می‌خواهی؟"
بس که جفا ز خار و گل دید دل رمیده‌ام,"بس که جفا ز خار و گل دید دل رمیده‌ام
همچو نسیم از این چمن پای برون کشیده‌ام
شمع طرب ز بخت ما آتش خانه‌سوز شد
گشت بلای جان من عشق به جان خریده‌ام
حاصل دور زندگی صحبت آشنا بود
تا تو ز من بریده‌ای من ز جهان بریده‌ام
تا به کنار بودیَم بود به جا قرار دل
رفتی و رفت راحت از خاطر آرمیده‌ام
تا تو مراد من دهی کشته مرا فراق تو
تا تو به داد من رسی من به خدا رسیده‌ام
چون به بهار سر کند لاله ز خاک من برون
ای گل تازه یاد کن از دل داغ دیده‌ام
یا ز ره وفا بیا یا ز دل رهی برو
سوخت در انتظار تو جان به لب رسیده‌ام"
رخم چو لاله ز خوناب دیده رنگین است,"رخم چو لاله ز خوناب دیده رنگین است
نشان قافله‌سالار عاشقان این است
مبین به چشم حقارت به خون دیده ما
که آبروی صراحی به اشک خونین است
ز آشنایی ما عمرها گذشت و هنوز
به دیده منت آن جلوه نخستین است
نداد بوسه و این با که می‌توان گفتن؟
که تلخ‌کامی ما زان دهان شیرین است
به روشنان چه بری شکوه از سیاهی بخت
که اختر فلکی نیز چون تو مسکین است
به غیر خون جگر نیست بی‌نصیبان را
زمانه را چه گنه چون نصیب ما این است
رهی ز لاله و گل نشکفد بهار مرا
بهار من گل روی امیر و گلچین است"
تو سوز آه من ای مرغ شب چه می‌دانی؟,"تو سوز آه من ای مرغ شب چه می‌دانی؟
ندیده‌ای شب من تاب و تب چه می‌دانی؟
به من گذار که لب بر لبش نهم ای جام
تو قدر بوسه آن نوش لب چه می‌دانی؟
چو شمع و گل شب و روزت به خنده می‌گذرد
تو گریه سحر و آه شب چه می‌دانی؟
بلای هجر ز هر درد جانگدازتر است
ندیده داغ جدایی تعب چه می‌دانی؟
رهی به محفل عشرت به نغمه لب مگشای
تو دل‌شکسته نوای طرب چه می‌دانی؟"
گرچه روزی تیره‌تر از شام غم باشد مرا,"گرچه روزی تیره‌تر از شام غم باشد مرا
در دل روشن صفای صبحدم باشد مرا
زرپرستی خواب راحت را ز نرگس دور کرد
صرف عشرت می‌کنم گر یک درم باشد مرا
خواهش دل هرچه کمتر شادی جان بیشتر
تا دلی بی‌آرزو باشد چه غم باشد مرا
در کنار من ز گرمی بر کناری ای دریغ
وصل و هجران غم و شادی به هم باشد مرا
در خروش آیم چو بینم کج‌نهادی‌های خلق
جویبارم ناله از هر پیچ و خم باشد مرا
گرچه در کارم چو انجم عقده‌ها باشد رهی
چهره بگشاده‌ای چون صبحدم باشد مرا"
نی افسرده‌ای هنگام گل روید ز خاک من,"نی افسرده‌ای هنگام گل روید ز خاک من
که برخیزد از آن نی ناله‌های دردناک من
مزار من اگر فردوس شادی‌آفرین باشد
به جای لاله و گل خار غم روید ز خاک من
مخند ای صبح بی‌هنگام که امشب سازشی دارد
نوای مرغ شب با خاطر اندوهناک من
نیم چون خاکیان آلودهٔ گرد کدورت‌ها
صفای چشمهٔ مهتاب دارد جان پاک من
چو دشمن از هلاک من رهی خشنود می‌گردد
بمیرم تا دلی خشنود گردد از هلاک من"
بی‌روی تو راحت ز دل زار گریزد,"بی‌روی تو راحت ز دل زار گریزد
چون خواب که از دیده بیمار گریزد
در دام تو یک شب دلم از ناله نیاسود
آسودگی از مرغ گرفتار گریزد
از دشمن و از دوست گریزیم و عجب نیست
سرگشته نسیم از گل و از خار گریزد
شب تا سحر از ناله دل خواب ندارم
راحت به شب از چشم پرستار گریزد
ای دوست بیازار مرا هرچه توانی
دل نیست اسیری که ز آزار گریزد
زین بیش رهی ناله مکن در بر آن شوخ
ترسم که ز نالیدن بسیار گریزد"
به سوی ما گذار مردم دنیا نمی‌افتد,"به سوی ما گذار مردم دنیا نمی‌افتد
کسی غیر از غم دیرین به یاد ما نمی‌افتد
منم مرغی که جز در خلوت شب‌ها نمی‌نالد
منم اشکی که جز بر خرمن دل‌ها نمی‌افتد
ز بس چون غنچه از پاس حیا سر در گریبانم
نگاه من به چشم آن سهی بالا نمی‌افتد
به پای گلبنی جان داده‌ام اما نمی‌دانم
که می‌افتد به خاکم سایهٔ گل یا نمی‌افتد
رود هر ذرهٔ خاکم به دنبال پری‌رویی
غبار من به صحرای طلب از پا نمی‌افتد
مراد آسان به دست آید ولی نوشین لبی جز او
پسند خاطر مشکل پسند ما نمی‌افتد
تو هم با سروبالایی سری داری و سودایی
کمند آرزو برجان من تنها نمی‌افتد
نصیب ساغر می شد لب جانانه بوسیدن
رهی دامان این دولت به دست ما نمی‌افتد"
نسیم وصل به افسردگان چه خواهد کرد؟,"نسیم وصل به افسردگان چه خواهد کرد؟
بهار تازه به برگ خزان چه خواهد کرد؟
به من که سوختم از داغ مهربانی خویش
فراق و وصل تو نامهربان چه خواهد کرد؟
سرای خانه‌به‌دوشی حصار عافیت است
صبا به طایر بی‌آشیان چه خواهد کرد؟
ز فیض ابر چه حاصل گیاه سوخته را؟
شراب با من افسرده‌جان چه خواهد کرد؟
مکن تلاش که نتوان گرفت دامن عمر
غبار بادیه با کاروان چه خواهد کرد؟
به باغ خلد نیاسود جان علوی ما
به حیرتم که در این خاکدان چه خواهد کرد؟
صفای باده روشن ز جوش سینه اوست
تو چاره ساز خودی آسمان چه خواهد کرد؟
به من که از دو جهان فارغم به دولت عشق
رهی ملامت اهل جهان چه خواهد کرد؟"
