"ipc-image src","ipc-lockup-overlay href","ipc-signpost__text","ipc-title-link-wrapper href","ipc-title__text","sc-99e9da6e-6","sc-99e9da6e-6 2","sc-99e9da6e-6 3","ipc-rating-star--rating","ipc-rating-star--voteCount"
"https://m.media-amazon.com/images/M/MV5BMDAyY2FhYjctNDc5OS00MDNlLThiMGUtY2UxYWVkNGY2ZjljXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg","https://www.imdb.com/title/tt0111161/?ref_=chttp_i_1","#1","https://www.imdb.com/title/tt0111161/?ref_=chttp_t_1","The Shawshank Redemption","1994","2h 22m","R","9.3","(3.2M)"
"https://m.media-amazon.com/images/M/MV5BNGEwYjgwOGQtYjg5ZS00Njc1LTk2ZGEtM2QwZWQ2NjdhZTE5XkEyXkFqcGc@._V1_QL75_UY133_CR2,0,90,133_.jpg","https://www.imdb.com/title/tt0068646/?ref_=chttp_i_2","#2","https://www.imdb.com/title/tt0068646/?ref_=chttp_t_2","The Godfather","1972","2h 55m","R","9.2","(2.2M)"
"https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_QL75_UX90_CR0,0,90,133_.jpg","https://www.imdb.com/title/tt0468569/?ref_=chttp_i_3","#3","https://www.imdb.com/title/tt0468569/?ref_=chttp_t_3","The Dark Knight","2008","2h 32m","PG-13","9.1","(3.2M)"
"https://m.media-amazon.com/images/M/MV5BMDIxMzBlZDktZjMxNy00ZGI4LTgxNDEtYWRlNzRjMjJmOGQ1XkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg","https://www.imdb.com/title/tt0071562/?ref_=chttp_i_4","#4","https://www.imdb.com/title/tt0071562/?ref_=chttp_t_4","The Godfather Part II","1974","3h 22m","R","9.0","(1.5M)"
"https://m.media-amazon.com/images/M/MV5BYjE4NzdmOTYtYjc5Yi00YzBiLWEzNDEtNTgxZGQ2MWVkN2NiXkEyXkFqcGc@._V1_QL75_UX90_CR0,3,90,133_.jpg","https://www.imdb.com/title/tt0050083/?ref_=chttp_i_5","#5","https://www.imdb.com/title/tt0050083/?ref_=chttp_t_5","12 Angry Men","1957","1h 36m","Approved","9.0","(980K)"
"https://m.media-amazon.com/images/M/MV5BMTZkMjBjNWMtZGI5OC00MGU0LTk4ZTItODg2NWM3NTVmNWQ4XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg","https://www.imdb.com/title/tt0167260/?ref_=chttp_i_6","#6","https://www.imdb.com/title/tt0167260/?ref_=chttp_t_6","The Lord of the Rings: The Return of the King","2003","3h 21m","PG-13","9.0","(2.2M)"
"https://m.media-amazon.com/images/M/MV5BNjM1ZDQxYWUtMzQyZS00MTE1LWJmZGYtNGUyNTdlYjM3ZmVmXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg","https://www.imdb.com/title/tt0108052/?ref_=chttp_i_7","#7","https://www.imdb.com/title/tt0108052/?ref_=chttp_t_7","Schindler's List","1993","3h 15m","R","9.0","(1.6M)"
"https://m.media-amazon.com/images/M/MV5BNzIxMDQ2YTctNDY4MC00ZTRhLTk4ODQtMTVlOWY4NTdiYmMwXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg","https://www.imdb.com/title/tt0120737/?ref_=chttp_i_8","#8","https://www.imdb.com/title/tt0120737/?ref_=chttp_t_8","The Lord of the Rings: The Fellowship of the Ring","2001","2h 58m","PG-13","8.9","(2.2M)"
"https://m.media-amazon.com/images/M/MV5BYTViYTE3ZGQtNDBlMC00ZTAyLTkyODMtZGRiZDg0MjA2YThkXkEyXkFqcGc@._V1_QL75_UY133_CR1,0,90,133_.jpg","https://www.imdb.com/title/tt0110912/?ref_=chttp_i_9","#9","https://www.imdb.com/title/tt0110912/?ref_=chttp_t_9","Pulp Fiction","1994","2h 34m","R","8.8","(2.4M)"
"https://m.media-amazon.com/images/M/MV5BMWM5ZjQxM2YtNDlmYi00ZDNhLWI4MWUtN2VkYjBlMTY1ZTkwXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg","https://www.imdb.com/title/tt0060196/?ref_=chttp_i_10","#10","https://www.imdb.com/title/tt0060196/?ref_=chttp_t_10","The Good, the Bad and the Ugly","1966","2h 58m","R","8.8","(889K)"
