name,city,www,industry
Systems Limited,Lahore,https://www.systemsltd.com,technology
NetSol Technologies,Lahore,https://www.netsoltech.com,technology
10Pearls,Karachi,https://www.10pearls.com,technology
Techlogix,Karachi,https://www.techlogix.com,technology
Arbisoft,Lahore,https://arbisoft.com,technology
Folio3,Karachi,https://www.folio3.com,technology
Confiz,Karachi,https://www.confiz.com,technology
VentureDive,Karachi,https://venturedive.com,technology
Tkxel,Lahore,https://www.tkxel.com,technology
Devsinc,Karachi,https://www.devsinc.com,technology
TRG Pakistan,Karachi,https://www.trg.com.pk,technology
Ovex Technologies,Karachi,https://www.ovextech.com,technology
Tintash,Lahore,https://tintash.com,technology
Contour Software,Karachi,https://www.contoursoftware.com,technology
Avanza Solutions,Karachi,https://www.avanzasolutions.com,technology
Nextbridge,Lahore,https://nextbridge.com,technology
InvoZone,Lahore,https://invozone.com,technology
Cubix,Karachi,https://www.cubix.co,technology
CodeNinja,Lahore,https://www.codeninja.co,technology
Trango Tech,Karachi,,technology
UrApptech,Karachi,,technology
Zamratech,Karachi,,technology
Genetech Solutions,Karachi,https://www.genetech.co,technology
LinkitSoft,Karachi,,technology
Bleed AI,Karachi,,technology
Futurealiti,Karachi,,technology
Digital Elliptical,Karachi,,technology
ZAPTA Technologies,Lahore,,technology
BearPlex,Lahore,,technology
Square63,Lahore,https://square63.co,technology
Bridge Zones,Islamabad,,technology
Esketchers,Lahore,,technology
Mobizion,Daska,,technology
3axTech,Karachi,,technology
5StarDesigners,Karachi,,technology
Objects,Karachi,,technology
CodesOrbit,Islamabad,,technology
Progatix,Karachi,https://progatix.com,technology
OSITS,Karachi,https://osits.pk,technology
Arpatech,Karachi,https://www.arpatech.com,technology
Macrosoft,Lahore,,technology
Jaffer Business Systems,Karachi,https://www.jbs.com.pk,technology
Rolustech,Lahore,https://www.rolustech.com,technology
Pure Logics,Lahore,https://purelogics.net,technology
Programmers Force,Lahore,,technology
Softoo,Islamabad,https://www.softoo.com,technology
TechAbout,Islamabad,https://techabout.com,technology
FiveRivers Technologies,Lahore,,technology
NorthBay Solutions,Lahore,https://northbaysolutions.com,technology
Emumba,Islamabad,https://emumba.com,technology
KoderLabs,Lahore,https://koderlabs.com,technology
KalSoft,Karachi,https://www.kalsoft.com,technology
Cybernet,Karachi,https://www.cyber.net.pk,technology
Creative Chaos,Karachi,https://www.creativechaos.co,technology
Clustox,Karachi,https://www.clustox.com,technology
ResourceInn,Lahore,,technology
Retailo,Karachi,,technology
Speridian,Karachi,,technology
Wavetec,Karachi,https://www.wavetec.com,technology
Xgrid,Lahore,https://xgrid.co,technology
Zepto Systems,Lahore,,technology
AlphaBOLD,Islamabad,,technology
Alchemy Technologies,Islamabad,,technology
Gaditek,Karachi,https://www.gaditek.com,technology
Mindstorm Studios,Lahore,https://mindstormstudios.com,technology
Ibex Digital,Lahore,,technology
Hazara IT,Islamabad,,technology
Intagleo Systems,Islamabad,,technology
One Byte,Karachi,,technology
RevCrew,Karachi,,technology
Sapphire Software Solutions,Lahore,,technology
SecureTech,Islamabad,,technology
Sybrid,Karachi,https://www.sybrid.com,technology
Terafort,Lahore,,technology
VaporVM,Karachi,,technology
Visnext,Lahore,,technology
WeGo Technologies,Karachi,,technology
Zaeem Technologies,Lahore,,technology
7Vals,Lahore,,technology
Abacus Consulting,Karachi,https://www.abacus.com.pk,technology
Astek Pakistan,Karachi,,technology
Concept Software,Karachi,,technology
F3 Technologies,Islamabad,,technology
Genesis Solutions,Karachi,,technology
Hexalyze,Islamabad,,technology
Innovent Engineering,Lahore,,technology
LMKR,Islamabad,https://www.lmkr.com,technology
Nexskill,Islamabad,,technology
Opal Labs,Lahore,,technology
Rafay Systems,Islamabad,,technology
Stack Bench,Karachi,,technology
Afiniti,Karachi,,technology
i2c Inc,Lahore,https://www.i2cinc.com,technology
Deloitte Pakistan Technology,Karachi,,technology
IBM Pakistan,Karachi,,technology
Ericsson Pakistan,Islamabad,,technology
M TECHUB LLC,Rawalpindi,,technology
Sam's Solution,Islamabad,,technology
System Plus,Lahore,,technology
Blend IT,Karachi,,technology
Bolish Technology,Lahore,,technology
Ciklum Pakistan,Karachi,,technology
Daewoo Information Technology,Islamabad,,technology
Eplanet Communications,Karachi,,technology
Galaxy IT,Karachi,,technology
Ignite Solutions,Lahore,,technology
Integra Technologies,Karachi,,technology
Interloop Limited,Karachi,https://www.interloop.com.pk,technology
ITSYS,Karachi,,technology
Learning Pitch,Lahore,,technology
Metro Infrasys,Lahore,,technology
Neusol,Karachi,,technology
Nexsoft,Islamabad,,technology
OneStack,Karachi,,technology
Optasia,Karachi,,technology
PakWheels,Lahore,https://www.pakwheels.com,technology
PIT Solutions,Islamabad,,technology
ProGaze,Karachi,,technology
SlashNext Pakistan,Karachi,,technology
Switch Communications,Karachi,,technology
Techloset,Islamabad,,technology
Triotech Digital,Karachi,,technology
Uls CJ Solutions,Lahore,,technology
Viper Technology,Karachi,,technology
Westech Solutions,Lahore,,technology
Wynde Solutions,Karachi,,technology
Xavor Corporation,Islamabad,https://www.xavor.com,technology
Zurno,Lahore,,technology
