"Company Name","Industry/Sector","Company Website","Company Email","Company Phone","Company Phone 2","All Phone Numbers","City","Address","Company LinkedIn Page"
"AbbVie","technology","http://www.abbvie.com","customerservice@abbvie.com","+92 391 5178561","+92 52 7568295911","+92 391 5178561 | +92 52 7568295911 | +92 51 1486693205 | +1 992-810-0470 | +1 616-369-6290 | +1 997-665-5440","","","https://www.linkedin.com/company/abbvie"
"Alkaram Textile Mills Pvt. Ltd","technology","http://www.alkaram.com","contact@alkaram.com","+92 21 111 111 258","+92 21 3501863844","+92 21 111 111 258 | +92 21 3501863844 | +92 21 35018631 | +92 21 350186312","",", with a global footprint in the US, UK, France and Portugal. For more than 35 years, Alkaram’s reputation and distinctive image have been consistently developed across an expanding number of products, brands, and international markets. Currently, Alkaram Textile Mills is the largest vertically integrated textile setup in Pakistan.","https://www.linkedin.com/company/al-karam-textile"
"Attock Petroleum Limited","Technology","","","","","","","","https://www.linkedin.com/company/attock-petroleum-limited"
"Afiniti","technology","https://www.afiniti.com","info@afiniti.com","+92 65 2245006","+92 318 49689689","+92 65 2245006 | +92 318 49689689 | +92 383 7757769 | +1 174-473-9715","Karachi","No. 4002, Delta 4,","https://www.linkedin.com/company/afiniti-com"
"Abacus","technology","https://www.abacus.com.pk","","","","","Karachi","Karachi, Pakistan","https://www.linkedin.com/company/abacus-global"
"Arbisoft","technology","https://arbisoft.com","contact@arbisoft.com","+92 42 37498533","","+92 42 37498533","Lahore","Lahore, Pakistan","https://www.linkedin.com/company/arbisoft"
"Amreli Steels Limited","technology","https://amrelisteels.com/investor-relations","adnan.ghafar@amrelisteels.com","+92 87 59496773","+92 21 38798328","+92 87 59496773 | +92 21 38798328 | +92 21 111 267 354 | +92 50 21123020 | +1 177-936-4650 | +1 177-884-8039 | +1 176-122-4462 | +1 177-936-4822 | +1 175-007-4426 | +1 175-007-4442 | +1 175-007-5083 | +1 177-936-4974 | +1 175-007-4474 | +1 177-936-6619 | +1 177-936-4680","",". Mr. Akberali brings unparalleled experience with a metallurgical engineering background combined with an MBA from Columbia University, New York. He has played an influential role in driving reforms aimed towards the growth of Pakistan’s steel industry. With a passion for increasing Pakistan’s literacy rate, Mr. Akberali is also a founding member","https://www.linkedin.com/company/amrelisteels"
"ArhamSoft","technology","http://www.arhamsoft.com","info@arhamsoft.com","+92 300 0808877","+92 94 0707111295","+92 300 0808877 | +92 94 0707111295 | +1 929-634-0281 | +1 125-596-9609 | +1 926-611-8364 | +1 651-244-8512 | +971 585844343 | +1 411-724-3168 | +1 (929) 634-0281 80 | +1 722-793-5572","Lahore","# 335/R Block, Main Blvd, Johar Town, Lahore Pakistan","https://www.linkedin.com/company/arhamsoft-pvt-ltd"
"APL Logistics","Technology","","","","","","","","https://www.linkedin.com/company/apl-logistics"
"Apex International","Technology","","","","","","","","https://www.linkedin.com/company/apex-internationnal"
"Airblue","Technology","","","","","","","","https://www.linkedin.com/company/airblue"
"Askari Bank","technology","https://www.sbp.org.pk/dfs/index.html?trk=test","cpd.helpdesk@sbp.org.pk","+92 21 99221160","+92 09 22199221160","+92 21 99221160 | +92 09 22199221160 | +92 21 99212489 | +92 09 22199212489 | +92 21 99221288 | +92 21 111 727 273 | +92 51 9217243 | +92 51 9217256","","State Bank of Pakistan has launched licensing and regulatory framework for setting up digital banks in Pakistan as a separate and distinct category in the banking business. Digital bank is defined as a bank which offers all kinds of financial products and services primarily through digital platforms or electronic channels instead of physical branch","https://www.linkedin.com/company/askaribanklimited"
