university,city,role,name,mentions,current_score,source_urls,snippets
SMI university,karachi,Vice Chancellor,Muhammad Ali Shaikh,6,24,https://www.smiu.edu.pk/viewnews/all/ | https://www.smiu.edu.pk/viewnews/all/index.html,"A fourth group of SMIU's students will visit various national institutions in Islamabad and meet with national leadership of Pakistan under its National Leadership Program (NLP), from January 27, 2019. The arrangements o || Karachi, December 15, 2018 | The annual Festival of Arts and Ideas organized by Sindh Madressatul Islam University (SMIU) on Saturday concluded after weeklong activities, which included 40 sessions on various subjects an || KARACHI: Accompanying scholars and delegates from abroad and across Pakistan, Vice Chancellor of the Sindh Madressatul Islam University (SMIU) Dr Muhammad Ali Shaikh on Wednesday formally inaugurated the second edition o"
SMI university,karachi,Vice Chancellor,Thomas Henry Vines,4,24,https://www.smiu.edu.pk/viewnews/all/ | https://www.smiu.edu.pk/viewnews/all/index.html,"Karachi, July 11, 2019 | Vice Chancellor Sindh Madressatul Islam University Dr. Muhammad Ali Shaikh here on Thursday inaugurated trees plantation campaign. | The vice chancellor inaugurated the campaign by planting a tre || The vice chancellor inaugurated the campaign by planting a tree at the university’s Thomas Henry Vines lawn. | Addressing the ceremony the Vice Chancellor Dr. Muhammad Ali Shaikh said trees are like lungs of the earth. E || Karachi, July 11, 2019 | Vice Chancellor Sindh Madressatul Islam University Dr. Muhammad Ali Shaikh here on Thursday inaugurated trees plantation campaign. | The vice chancellor inaugurated the campaign by planting a tre"
SMI university,karachi,Vice Chancellor,Charli Chaplin,4,12,https://www.smiu.edu.pk/viewnews/all/ | https://www.smiu.edu.pk/viewnews/all/index.html,"Karachi, December 11, 2018 | Sindh Madressatul Islam University's second Festival of Arts and Ideas, on its second day, Tuesday, also attracted a large number of students. On this day, classical films Cleopatra (1963) an || Sindh Madressatul Islam University's second Festival of Arts and Ideas, on its second day, Tuesday, also attracted a large number of students. On this day, classical films Cleopatra (1963) and Charli Chaplin were screene || Karachi, December 11, 2018 | Sindh Madressatul Islam University's second Festival of Arts and Ideas, on its second day, Tuesday, also attracted a large number of students. On this day, classical films Cleopatra (1963) an"
SMI university,karachi,Vice Chancellor,Amir Ahmed Shaikh,2,12,https://www.smiu.edu.pk/viewnews/all/ | https://www.smiu.edu.pk/viewnews/all/index.html,"Dr Amir Ahmed Shaikh, AIG, Karachi visits SMIU | Karachi, 19 February 2019 | Dr Amir Ahmed Shaikh, Additional Inspector General of Police (AIG), Karachi called on Dr Muhammad Ali Shaikh, Vice Chancellor of Sindh Madressa || Dr Amir Ahmed Shaikh, AIG, Karachi visits SMIU | Karachi, 19 February 2019 | Dr Amir Ahmed Shaikh, Additional Inspector General of Police (AIG), Karachi called on Dr Muhammad Ali Shaikh, Vice Chancellor of Sindh Madressa"
SMI university,karachi,Vice Chancellor,International Women's Day,2,12,https://www.smiu.edu.pk/viewnews/all/ | https://www.smiu.edu.pk/viewnews/all/index.html,"Sindh Madressatul Islam University observes International Women's Day | Karachi, March 8, 2019 | Dr Muhammad Ali Shaikh, Vice Chancellor of Sindh Madressatul Islam University has said that until and unless women are not  || Sindh Madressatul Islam University observes International Women's Day | Karachi, March 8, 2019 | Dr Muhammad Ali Shaikh, Vice Chancellor of Sindh Madressatul Islam University has said that until and unless women are not "
SMI university,karachi,Vice Chancellor,VC SMIU,2,12,https://www.smiu.edu.pk/viewnews/all/ | https://www.smiu.edu.pk/viewnews/all/index.html,"VC SMIU inaugurates tree plantation drive | Karachi, July 11, 2019 | Vice Chancellor Sindh Madressatul Islam University Dr. Muhammad Ali Shaikh here on Thursday inaugurated trees plantation campaign. | The vice chancello || VC SMIU inaugurates tree plantation drive | Karachi, July 11, 2019 | Vice Chancellor Sindh Madressatul Islam University Dr. Muhammad Ali Shaikh here on Thursday inaugurated trees plantation campaign. | The vice chancello"
SMI university,karachi,Chancellor,Turkish Consulate,2,6,https://www.smiu.edu.pk/viewnews/all/ | https://www.smiu.edu.pk/viewnews/all/index.html,"He said that on the very first day of the earthquake, a large number of people of Pakistan had visited the Turkish Consulate in Karachi to show solidarity and expressed their deep grief for human loss in Turkiye. | “We,  || He said that on the very first day of the earthquake, a large number of people of Pakistan had visited the Turkish Consulate in Karachi to show solidarity and expressed their deep grief for human loss in Turkiye. | “We, "
SMI university,karachi,Director,US Consulate General,2,6,https://www.smiu.edu.pk/viewnews/all/ | https://www.smiu.edu.pk/viewnews/all/index.html,He said the university would start a programme to award bachelor’s degree in filmmaking while short courses on filmmaking and related subjects would start next month. | He said that Karachi had emerged as the main centre || He said the university would start a programme to award bachelor’s degree in filmmaking while short courses on filmmaking and related subjects would start next month. | He said that Karachi had emerged as the main centre
SMI university,karachi,Vice Chancellor,Owais Zaidi,2,6,https://www.smiu.edu.pk/viewnews/all/ | https://www.smiu.edu.pk/viewnews/all/index.html,He said the electronic media's reckless reporting painted the negative image of Karachi elsewhere in the country and abroad; that even stopped foreigners in visiting the city on bizarre misconceptions. | Owais Zaidi of t || He said the electronic media's reckless reporting painted the negative image of Karachi elsewhere in the country and abroad; that even stopped foreigners in visiting the city on bizarre misconceptions. | Owais Zaidi of t
SMI university,karachi,Vice Chancellor,Saturday. About,2,6,https://www.smiu.edu.pk/viewnews/all/ | https://www.smiu.edu.pk/viewnews/all/index.html,"Karachi, July 6, 2019 | Sindh Madressatul Islam University (SMIU) conducted an entry test for admissions in under graduate, graduate and PhD programs for Fall 2019 at its campus on Saturday. About two thousand students h || Karachi, July 6, 2019 | Sindh Madressatul Islam University (SMIU) conducted an entry test for admissions in under graduate, graduate and PhD programs for Fall 2019 at its campus on Saturday. About two thousand students h"
SMI university,karachi,Director,Khurshed Ahmed,1,6,https://www.smiu.edu.pk/resources/staff,Khurshed Ahmed | Abdul Waheed Jatoi | Additional Director | Mr. Jatoi obtained his MS in Computer Science from SMI University Karachi . He has more than eighteen years of experience in IT Administration and Technical His
SMI university,karachi,Registrar,Gahwar Bhatti,1,6,https://www.smiu.edu.pk/resources/staff,"Mr. Gahwar Bhatti holds MS Degree in Management Science from SZABIST, Karachi and MBA from KUBS, University of Karachi. He has 7 years’ experience of teaching and administration. Before working as Assistant Registrar at "
SMI university,karachi,Registrar,Store Officer,1,6,https://www.smiu.edu.pk/resources/staff,"Purchase & Store Officer | Gahwar Bhatti | Assistant Registrar | Mr. Gahwar Bhatti holds MS Degree in Management Science from SZABIST, Karachi and MBA from KUBS, University of Karachi. He has 7 years’ experience of teach"
